UserID,Timestamp,IPAddress,Result,Reason,DeviceName,OperatingSystem,Location
user002,2024-10-05 10:05:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-11-08 10:55:00,198.51.100.2,Fail,Incorrect Password,Phone001,iOS 14,Denmark
user004,2023-12-11 11:45:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-01-14 12:35:00,203.0.113.6,Fail,Failed MFA,Tablet001,Android 11,Denmark
user006,2024-02-17 13:25:00,198.51.100.3,Success,-,Desktop998,Windows 11,198.51.100.3,Denmark
user007,2024-03-21 14:15:00,203.0.113.8,Fail,Incorrect Password,Desktop003,Windows 10,Denmark
user008,2024-04-25 15:05:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-05-29 15:55:00,203.0.113.7,Fail,Failed MFA,Laptop002,macOS 12,Denmark
user010,2024-07-03 16:45:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-08-06 08:15:00,192.168.1.1,Fail,Incorrect Password,Desktop001,Windows 10,Denmark
user002,2024-09-10 09:05:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-10-14 09:55:00,198.51.100.2,Fail,Failed MFA,Phone001,iOS 14,Denmark
user004,2024-11-17 10:45:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2023-12-20 11:35:00,203.0.113.6,Fail,Incorrect Password,Tablet001,Android 11,Denmark
user006,2024-01-24 12:25:00,198.51.100.3,Success,-,Desktop998,Windows 11,198.51.100.3,Denmark
user007,2024-02-27 13:15:00,203.0.113.8,Fail,Failed MFA,Desktop003,Windows 10,Denmark
user008,2024-04-02 14:05:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-05-06 14:55:00,203.0.113.7,Fail,Incorrect Password,Laptop002,macOS 12,Denmark
user010,2024-06-10 15:45:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-07-14 16:35:00,192.168.1.1,Fail,Failed MFA,Desktop001,Windows 10,Denmark
user002,2024-08-18 08:15:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-09-21 09:05:00,198.51.100.2,Fail,Incorrect Password,Phone001,iOS 14,Denmark
user004,2024-10-25 09:55:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-11-28 10:45:00,203.0.113.6,Fail,Incorrect Password,Tablet001,Android 11,Denmark
user006,2023-12-02 11:35:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-01-05 12:25:00,203.0.113.8,Fail,Incorrect Password,Desktop003,Windows 10,Denmark
user008,2024-02-09 13:15:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-03-13 14:05:00,203.0.113.7,Fail,Failed MFA,Laptop002,macOS 12,Denmark
user010,2024-04-16 14:55:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-05-20 15:45:00,192.168.1.1,Fail,Incorrect Password,Desktop001,Windows 10,Denmark
user002,2024-06-23 16:35:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-07-27 08:25:00,198.51.100.2,Fail,Failed MFA,Phone001,iOS 14,Denmark

user001,2023-12-05 08:15:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-01-14 09:22:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-03-20 10:37:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-02-11 11:45:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-04-09 12:30:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-05-13 13:27:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-06-16 14:34:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-07-19 15:40:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-08-22 16:25:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-09-24 08:10:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-10-27 09:55:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-11-30 10:45:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2023-12-03 11:35:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-01-06 12:25:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-02-10 13:15:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-03-14 14:05:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-04-17 14:55:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-05-21 15:45:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-06-25 16:35:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-07-29 08:25:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-09-01 09:15:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-10-05 10:05:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-11-08 10:55:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2023-12-11 11:45:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-01-14 12:35:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-02-17 13:25:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-03-21 14:15:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-04-25 15:05:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-05-29 15:55:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-07-03 16:45:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-08-06 08:15:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-09-10 09:05:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-10-14 09:55:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-11-17 10:45:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2023-12-20 11:35:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-01-24 12:25:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-02-27 13:15:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-04-02 14:05:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-05-06 14:55:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-06-10 15:45:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-07-14 16:35:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-08-18 08:15:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-09-21 09:05:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-10-25 09:55:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-11-28 10:45:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2023-12-02 11:35:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark

user001,2023-12-07 08:25:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-01-16 09:15:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-03-22 10:05:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-02-13 10:55:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-04-11 11:45:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-05-15 12:35:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-06-19 13:25:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-07-22 14:15:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-08-25 15:05:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-09-27 15:55:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-10-30 08:35:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-11-03 09:25:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2023-12-10 10:15:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-01-13 11:05:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-02-16 11:55:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-03-19 12:45:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-04-21 13:35:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-05-24 14:25:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-06-27 15:15:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-07-30 16:05:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-08-02 08:45:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-09-06 09:35:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-10-10 10:25:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-11-13 11:15:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2023-12-17 12:05:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-01-21 12:55:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-02-24 13:45:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-03-28 14:35:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-04-30 15:25:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-06-03 16:15:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-07-05 08:55:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-08-08 09:45:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-09-11 10:35:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-10-14 11:25:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-11-17 12:15:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2023-12-20 13:05:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-01-23 13:55:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-02-26 14:45:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-03-30 15:35:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-05-02 16:25:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark

user001,2024-11-20 08:15:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-11-21 09:22:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-11-22 10:37:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-11-23 11:45:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-11-24 12:30:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-11-25 13:27:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-11-26 14:34:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-11-27 15:40:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-11-28 16:25:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-11-29 08:10:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-12-01 09:55:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-12-02 10:45:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-12-03 11:35:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-12-04 12:25:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-12-05 13:15:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-12-06 14:05:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-12-07 14:55:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-12-08 15:45:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-12-09 16:35:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-12-10 08:25:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-12-11 09:15:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-12-12 10:05:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-12-13 10:55:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-12-14 11:45:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-12-15 12:35:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-12-16 13:25:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-12-17 14:15:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-12-18 15:05:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-12-19 15:55:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-12-20 16:45:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark

user001,2024-12-21 08:35:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-12-22 09:25:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-12-23 10:15:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-12-24 11:05:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-12-25 11:55:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-12-26 12:45:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-12-27 13:35:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-12-28 14:25:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-12-29 15:15:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-12-30 16:05:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-12-21 08:45:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-12-22 09:35:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-12-23 10:25:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-12-24 11:15:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-12-25 12:05:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-12-26 12:55:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-12-27 13:45:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-12-28 14:35:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-12-29 15:25:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-12-30 16:15:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-12-31 08:55:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-12-22 09:45:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-12-23 10:35:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-12-24 11:25:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-12-25 12:15:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-12-26 13:05:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-12-27 13:55:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-12-28 14:45:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-12-29 15:35:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-12-30 16:25:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-12-21 08:15:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-12-22 09:22:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2024-12-23 10:37:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-12-24 11:45:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-12-25 12:30:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-12-26 13:27:00,198.51.100.3,Success,-,Desktop998,Windows 11,Denmark
user007,2024-12-27 14:34:00,203.0.113.7,Success,-,Desktop003,Windows 10,Denmark
user008,2024-12-28 15:40:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-12-29 16:25:00,203.0.113.7,Success,-,Laptop002,macOS 12,Denmark
user010,2024-12-30 08:10:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
